community,rent_area,lng,lat,sell_area,r/s
三兴小区,118.4251538,121.4665222,31.25825706,66747.25,563.6239252
三兴苑,96.64270555,121.4884107,31.31977623,63094.4,652.8625171
三友星墅(公寓),67.94928433,121.242991,31.246194,31262.33333,460.0833348
三友星墅(别墅),36.10154231,121.2403321,31.248096,32270,893.8676282
三友星墅（公寓）,40.16064257,121.242991,31.246194,30023,747.5727
三和花园,144.9684348,121.446217,31.234812,86095.57143,593.8918467
三墩花苑,19.24398625,121.760456,30.998845,18576.16667,965.2972321
三宝花苑,134.4473342,121.483736,31.263029,66617.77778,495.4934821
三岛龙州苑,31.3559322,121.3480387,30.74031346,23802,759.0908108
三峰大厦,88.34679679,121.5190332,31.2788341,68843,779.2359486
三明花园,45.09410532,121.4368588,31.02089072,40390.41176,895.6916093
三星苑,45.6669704,121.205932,31.018499,33740.96552,738.8483453
三春汇秀苑,57.99399815,121.3811843,31.09942971,50539.63158,871.4631375
三景苑,23.27096714,121.5344828,30.82589026,31649,1360.020828
三杨新村一街坊,55.95319765,121.4960359,31.16074587,67991.83333,1215.155455
三杨新村二街坊,64.70881625,121.4934631,31.1631158,71335,1102.400015
三林世博家园(东书房路390弄),91.21893738,121.5415448,31.17052106,53044.80556,581.510891
三林世博家园(东书房路560弄),108.4019074,121.5400896,31.16845604,54433.0625,502.1411873
三林世博家园(大道站路94弄),115.337179,121.544263,31.165126,50801.91228,440.4643213
三林世博家园(新浦路199弄),90.85840976,121.5454187,31.17205923,54383.66667,598.5540228
三林世博家园(新浦路251弄),73.72025955,121.541399,31.17396528,54273.91667,736.2144002
三林世博家园(板泉路2000弄),97.66447853,121.5363437,31.17220429,54296.29167,555.9471825
三林世博家园(板泉路2101弄),115.770202,121.53845,31.173287,54103.06667,467.3315389
三林世博家园（东书房路390弄）,67.51364299,121.5415448,31.17052106,58095.42857,860.4990932
三林世博家园（东书房路560弄）,79.62031387,121.5400896,31.16845604,58311,732.3633525
三林世博家园（大道站路94弄）,80.97941256,121.544263,31.165126,55115.5,680.6112598
三林世博家园（新浦路199弄）,78.47405986,121.5454187,31.17205923,67157,855.7859771
三林世博家园（新浦路251弄）,64.53249455,121.541399,31.17396528,57338.66667,888.5239455
三林世博家园（新浦路91弄）,49.90721526,121.546606,31.17042427,56595.5,1134.014385
三林世博家园（板泉路2000弄）,80.89876778,121.5363437,31.17220429,61382.66667,758.7589818
