Z,长度,cy_count,人均消费_,data_point,r/s_均值,rent_area_,sell_area_,lng,lat
140,452.3586711,,,,,,,352590,3412011
140,6589.606853,,,2,657.316746,23.869909,15690.09091,353590,3412011
391,3073.624269,,,1,666.8900636,24.71064815,16479.28571,354590,3412011
488,3194.684688,,,1,1093.135926,14.52490913,15877.7,355590,3412011
426,14933.72121,11,0,,,,,356590,3412011
441,4308.428267,,,,,,,357590,3412011
314,6673.09904,1,0,7,1296.885603,20.30423238,26332.26667,358590,3412011
170,537.1128887,,,2,813.0364,31.64556962,25729,359590,3412011
8,1408.391802,,,5,2368.217335,14.20435511,33639,360590,3412011
0,2064.268383,,,,,,,361590,3412011
0,2136.092834,,,1,1810.325098,14.87062556,26920.66667,362590,3412011
0,1542.586772,,,,,,,363590,3412011
0,1012.879924,,,,,,,364590,3412011
0,1101.003958,,,,,,,365590,3412011
0,2061.188262,,,,,,,366590,3412011
0,1560.279706,,,,,,,367590,3412011
0,0,,,,,,,368590,3412011
173,1097.439481,,,,,,,307590,3413011
462,2375.362513,,,,,,,308590,3413011
468,705.2456641,,,,,,,309590,3413011
239,424.523505,,,,,,,310590,3413011
465,621.7466111,,,,,,,311590,3413011
658,785.7279087,,,,,,,312590,3413011
658,350.2619939,,,,,,,313590,3413011
0,0,,,,,,,314590,3413011
633,397.3581587,,,,,,,319590,3413011
633,424.5029231,,,,,,,320590,3413011
250,2640.801675,,,,,,,321590,3413011
330,1833.504954,,,,,,,322590,3413011
362,2261.292859,1,0,,,,,323590,3413011
217,3024.523996,,,,,,,324590,3413011
304,2485.073874,,,,,,,325590,3413011
1582,3288.553593,,,,,,,326590,3413011
1447,1342.090828,,,,,,,327590,3413011
362,2619.297601,,,,,,,328590,3413011
268,3961.577751,,,,,,,329590,3413011
236,4731.629617,,,,,,,330590,3413011
362,4687.387563,1,0,,,,,331590,3413011
314,1346.637453,,,,,,,332590,3413011
365,740.6998683,,,,,,,333590,3413011
365,2646.697866,,,,,,,334590,3413011
354,2127.502372,,,,,,,335590,3413011
359,0,,,,,,,336590,3413011
365,723.6836772,,,,,,,337590,3413011
312,348.5172552,,,,,,,338590,3413011
1377,816.660957,,,,,,,339590,3413011
4065,1794.313038,,,,,,,340590,3413011
365,1670.904371,,,,,,,341590,3413011
312,0,,,,,,,342590,3413011
325,3472.335706,,,,,,,343590,3413011
365,1010.97568,,,,,,,344590,3413011
365,1003.756797,,,,,,,345590,3413011
365,326.2397693,,,,,,,346590,3413011
488,328.3583542,,,,,,,347590,3413011
455,2688.235031,,,,,,,348590,3413011
170,2984.581923,,,,,,,349590,3413011
393,2461.953479,,,1,1045.382644,14.20245504,14847,350590,3413011
383,2682.291574,,,,,,,351590,3413011
375,89.41237046,,,,,,,352590,3413011
318,2651.092167,,,,,,,353590,3413011
287,6457.372832,,,,,,,354590,3413011
393,4314.332131,,,1,1129.678159,14.61844084,16514.13333,355590,3413011
488,6334.666017,1,0,,,,,356590,3413011
476,11288.47484,,,1,820.6327741,25.29834638,20760.65217,357590,3413011
1120,3861.058644,,,,,,,358590,3413011
317,2463.696308,,,,,,,359590,3413011
261,1325.115552,,,,,,,360590,3413011
252,1833.645661,,,,,,,361590,3413011
0,1325.825394,,,,,,,362590,3413011
0,519.7000519,,,,,,,363590,3413011
0,0,,,,,,,364590,3413011
0,0,,,,,,,365590,3413011
0,0,,,,,,,366590,3413011
0,1111.879123,,,,,,,367590,3413011
0,1009.841003,,,,,,,368590,3413011
0,1010.382253,,,,,,,369590,3413011
0,2032.030552,,,,,,,370590,3413011
0,1609.365843,,,,,,,371590,3413011
0,1207.406186,,,,,,,372590,3413011
0,1003.588288,,,,,,,373590,3413011
0,1000.822754,,,,,,,374590,3413011
0,717.7429142,,,,,,,375590,3413011
0,250.4374084,,,,,,,381590,3413011
0,1000.260929,,,,,,,382590,3413011
0,1001.329488,,,,,,,383590,3413011
0,1066.683182,,,,,,,384590,3413011
0,1199.301471,,,,,,,385590,3413011
0,1659.364424,,,,,,,386590,3413011
0,1660.957169,,,,,,,387590,3413011
0,2244.123741,,,,,,,388590,3413011
0,788.139409,1,100,,,,,389590,3413011
0,507.8364122,,,,,,,391590,3413011
0,895.8489223,,,,,,,392590,3413011
0,855.4357358,,,,,,,393590,3413011
173,0,,,,,,,307590,3414011
224,1506.959551,,,,,,,308590,3414011
224,451.4547908,,,,,,,309590,3414011
293,1208.820967,,,,,,,310590,3414011
364,1134.792894,,,,,,,311590,3414011
559,706.4637061,,,,,,,312590,3414011
251,0,,,,,,,313590,3414011
0,72.49003892,,,,,,,314590,3414011
265,0,,,,,,,319590,3414011
265,309.4234253,,,,,,,320590,3414011
365,658.629868,,,,,,,321590,3414011
358,1000.06393,,,,,,,322590,3414011
342,1214.493119,,,,,,,323590,3414011
320,3352.745274,,,,,,,324590,3414011
287,927.1133061,,,,,,,325590,3414011
530,2549.069403,,,,,,,326590,3414011
375,2154.314758,,,,,,,327590,3414011
355,767.7094135,,,,,,,328590,3414011
176,4629.873168,,,,,,,329590,3414011
347,1382.268503,,,,,,,330590,3414011
365,3055.546312,,,,,,,331590,3414011
365,0,,,,,,,332590,3414011
365,4.143374317,,,,,,,333590,3414011
365,535.5825252,,,,,,,334590,3414011
365,1146.548188,1,28,,,,,335590,3414011
326,1735.09491,,,,,,,336590,3414011
365,1025.995508,,,,,,,337590,3414011
364,1398.795659,,,,,,,338590,3414011
1683,3307.956004,,,,,,,339590,3414011
4848,6461.955865,,,,,,,340590,3414011
282,3410.610056,,,,,,,341590,3414011
365,2778.647969,,,,,,,342590,3414011
313,2514.926041,,,,,,,343590,3414011
361,1242.686345,,,,,,,344590,3414011
488,3086.711971,,,,,,,345590,3414011
488,1322.159713,,,,,,,346590,3414011
488,1423.94135,,,,,,,347590,3414011
455,991.4970308,,,,,,,348590,3414011
349,3250.533215,,,,,,,349590,3414011
113,1584.99822,,,,,,,350590,3414011
456,1423.623445,,,,,,,351590,3414011
397,537.9065016,,,,,,,352590,3414011
488,2173.452105,,,,,,,353590,3414011
350,3043.303027,,,,,,,354590,3414011
268,2317.96782,,,,,,,355590,3414011
741,3337.639626,2,0,,,,,356590,3414011
694,4606.609263,1,62,,,,,357590,3414011
1373,1058.174768,,,,,,,358590,3414011
401,2404.688499,1,0,,,,,359590,3414011
175,2830.104014,,,,,,,360590,3414011
373,2501.341419,,,,,,,361590,3414011
60,1566.151576,,,,,,,362590,3414011
0,616.7033814,,,,,,,363590,3414011
0,48.07528857,,,,,,,364590,3414011
1,0,,,,,,,365590,3414011
0,0,,,,,,,366590,3414011
0,0,,,,,,,367590,3414011
0,99.68322756,,,,,,,368590,3414011
172,0,,,,,,,369590,3414011
45,629.3428589,,,,,,,370590,3414011
